feature,coef,abs_coef
MesesContrato,-1.3999593892872353,1.3999593892872353
IDCliente_0607-DAAHE,0.9924787250563142,0.9924787250563142
IDCliente_3400-ESFUW,0.989250148316596,0.989250148316596
IDCliente_1043-YCUTE,0.9825863484158023,0.9825863484158023
IDCliente_6532-YLWSI,0.9801759879062012,0.9801759879062012
IDCliente_5458-CQJTA,0.9715629547109804,0.9715629547109804
IDCliente_7359-SSBJK,0.9697978366183116,0.9697978366183116
IDCliente_4597-ELFTS,0.967147713754173,0.967147713754173
IDCliente_7253-UVNDW,0.9659696788418015,0.9659696788418015
IDCliente_0378-XSZPU,0.9653406842699753,0.9653406842699753
IDCliente_0617-AQNWT,0.9646908623782087,0.9646908623782087
IDCliente_2225-ZRGSG,0.9617908561648819,0.9617908561648819
IDCliente_0687-ZVTHB,0.9615739865992542,0.9615739865992542
IDCliente_7951-QKZPL,0.9486461034030287,0.9486461034030287
IDCliente_6559-ILWKJ,0.9469779840237206,0.9469779840237206
IDCliente_5906-CVLHP,0.9387541052863959,0.9387541052863959
IDCliente_8515-OCTJS,0.9378750945710538,0.9378750945710538
IDCliente_3705-PSNGL,0.9372093272642821,0.9372093272642821
IDCliente_6261-RCVNS,0.9361237281901723,0.9361237281901723
IDCliente_8869-TORSS,0.93545378793995,0.93545378793995
