Modelo,Acurácia (train),Acurácia (test),Precisão,Recall,F1
Regressão Logística,0.754158215010142,0.7349739706578324,0.5005574136008919,0.8003565062388592,0.6159122085048012
Random Forest,0.9977687626774848,0.7856128726928537,0.6232876712328768,0.48663101604278075,0.5465465465465467
